process,process description,parameter,value,unit,description,
 , ,G3_kappa,Using parameter nr 18,(-),fraction of energy spent on growth DEB Grazer3
 , ,G3_kappaR,Using parameter nr 20,(-),fraction of energy spent on gonads DEB Grazer3
 , ,G3_Ta,Using parameter nr 22,(K),arrhenius temperature of DEB Grazer3
 , ,G3_Tah,Using parameter nr 24,(K),arr temp for upper boundary DEB Grazer3
 , ,G3_Tal,Using parameter nr 26,(K),arr temp for lower boundary DEB Grazer3
 , ,G3_Th,Using parameter nr 28,(K),upper boundary of tol range of DEB Grazer3
 , ,G3_Tl,Using parameter nr 30,(K),lower boundary of tol range of DEB Grazer3
 , ,G3_GSIupr,Using parameter nr 32,(-),minimum GSI for spawning of DEB Grazer3
 , ,G3_GSIlwr,Using parameter nr 34,(-),minimum GSI while spawning of DEB Grazer3
 , ,G3_DoSpawn,0.00000,(-),indication of spawning of DEB Grazer3
 , ,G3_rSpawn,0.200000E-01,(-),spawning rate of DEB Grazer3
 , ,G3_MinSTmp,Using parameter nr 36,(oC),minimum temp for spawning of DEB Grazer3
 , ,G3_Xk,Using parameter nr 38,(gC/m3),halfrate const for food of DEB Grazer3
 , ,G3_Yk,Using parameter nr 40,(gC/m3),halfrate const for TIM of DEB Grazer3
 , ,G3_rMor,0.00000,(/d),reference mortality rate of DEB Grazer3
 , ,G3_cMor,0.00000,(/d),length coefficient harvesting rate DEB Grazer3
 , ,G3_rHrv,0.00000,(/d),reference rate of harvesting of DEB Grazer3
 , ,G3_cHrv,0.00000,(/d),length coefficient harvesting rate DEB Grazer3
 , ,G3_cEC,0.355555E-04,(gC/J),energy to carbon conversion of DEB Grazer3
 , ,G3_cVC,0.480000E-01,(gC/cm3),volume to carbon conversion of DEB Grazer3
 , ,G3_cAFWC,0.400000,(gC/gAFDW),AFD weight to carbon conv of DEB Grazer3
 , ,G3_cWWC,Using parameter nr 43,(gC/gWW),wetweight to carbon conv of DEB Grazer3
 , ,G3_TC,1.00000,(gC/gC),C:C ratio of DEB Grazer3
 , ,G3_TN,0.181800,(gN/gC),N:C ratio of DEB Grazer3
 , ,G3_TP,0.263000E-01,(gP/gC),P:C ratio of DEB Grazer3
 , ,G3_TSi,0.00000,(Si/gC),Si:C ratio of DEB Grazer3
 , ,G3_FrDetS1,1.00000,(-),fraction of DEB Grazer3 detritus into sediment
 , ,G3_SFSusp,1.00000,(-),DEB Grazer3 pref suspension over deposit feedin
 , ,G3_PrDet,0.00000,(-),DEB Grazer3 preference for DetC or POC1
 , ,G3_PrDetS1,0.00000,(-),DEB Grazer3 preference for DetCS1
 , ,G3_FFDet,0.500000,(-),Faecal fraction of DetC for DEB Grazer3
 , ,G3_FFDetS1,0.500000,(-),Faecal fraction of DetCS1 for DEB Grazer3
 , ,DetC,0.00000,(gC/m3),Detritus Carbon  (DetC)
 , ,DetN,0.00000,(gN/m3),Detritus Nitrogen (DetN)
 , ,DetP,0.00000,(gP/m3),Detritus Phosphorus (DetP)
 , ,DetSi,0.00000,(gSi/m3),Detritus Silica (DetSi)
 , ,POC1,Using substance nr   5,(gC/m3),POC1 (fast decomposing fraction)
 , ,PON1,Using substance nr   6,,PON1 (fast decomposing fraction)
 , ,POP1,Using substance nr   7,,POP1 (fast decomposing fraction)
 , ,Opal,Using substance nr   8,,Opal-Si
 , ,DetCS1,Using substance nr  29,(gC/m2),DetC in layer S1
 , ,DetNS1,Using substance nr  30,(gN/m2),DetN in layer S1
 , ,DetPS1,Using substance nr  31,(gP/m2),DetP in layer S1
 , ,DetSiS1,Using substance nr  32,(gSi/m2),DetSi in layer S1
 , ,Green,0.00000,(gC/m3),Algae (non-Diatoms)
 , ,Diat,0.00000,(gC/m3),Diatoms
 , ,MDIATOMS_E,Using substance nr  16,NOUNIT,concentration of algae type 1
 , ,MDIATOMS_N,Using substance nr  17,NOUNIT,concentration of algae type 2
 , ,MDIATOMS_P,Using substance nr  18,NOUNIT,concentration of algae type 3
 , ,MFLAGELA_E,Using substance nr  19,NOUNIT,concentration of algae type 4
 , ,MFLAGELA_N,Using substance nr  20,NOUNIT,concentration of algae type 5
 , ,MFLAGELA_P,Using substance nr  21,NOUNIT,concentration of algae type 6
 , ,DINOFLAG_E,Using substance nr  13,NOUNIT,concentration of algae type 7
 , ,DINOFLAG_N,Using substance nr  14,NOUNIT,concentration of algae type 8
 , ,DINOFLAG_P,Using substance nr  15,NOUNIT,concentration of algae type 9
 , ,PHAEOCYS_E,Using substance nr  22,NOUNIT,concentration of algae type 10
 , ,PHAEOCYS_N,Using substance nr  23,NOUNIT,concentration of algae type 11
 , ,PHAEOCYS_P,Using substance nr  24,NOUNIT,concentration of algae type 12
 , ,ULVAS_E,Using substance nr  26,NOUNIT,concentration of algae type 13
 , ,ULVAS_N,Using substance nr  27,NOUNIT,concentration of algae type 14
 , ,ULVAS_P,Using substance nr  28,NOUNIT,concentration of algae type 15
 , ,ULVAF_E,Using substance nr  33,NOUNIT,concentration of algae type 16
 , ,ULVAF_N,Using substance nr  34,NOUNIT,concentration of algae type 17
 , ,ULVAF_P,Using substance nr  35,NOUNIT,concentration of algae type 18
 , ,BLOOMALG19,-101.000,(gC/m3),concentration of algae type 19
 , ,BLOOMALG20,-101.000,(gC/m3),concentration of algae type 20
 , ,BLOOMALG21,-101.000,(gC/m3),concentration of algae type 21
 , ,BLOOMALG22,-101.000,(gC/m3),concentration of algae type 22
 , ,BLOOMALG23,-101.000,(gC/m3),concentration of algae type 23
 , ,BLOOMALG24,-101.000,(gC/m3),concentration of algae type 24
 , ,BLOOMALG25,-101.000,(gC/m3),concentration of algae type 25
 , ,BLOOMALG26,-101.000,(gC/m3),concentration of algae type 26
 , ,BLOOMALG27,-101.000,(gC/m3),concentration of algae type 27
 , ,BLOOMALG28,-101.000,(gC/m3),concentration of algae type 28
 , ,BLOOMALG29,-101.000,(gC/m3),concentration of algae type 29
 , ,BLOOMALG30,-101.000,(gC/m3),concentration of algae type 30
 , ,F1,0.00000,(gC),Dummy food type 1
 , ,F2,0.00000,(gC),Dummy food type 2
 , ,F3,0.00000,(gC),Dummy food type 3
 , ,F4,0.00000,(gC),Dummy food type 4
 , ,F5,0.00000,(gC),Dummy food type 5
 , ,F6,0.00000,(gC),Dummy food type 6
 , ,F7,0.00000,(gC),Dummy food type 7
 , ,F8,0.00000,(gC),Dummy food type 8
 , ,NCRatGreen,0.160000,(gN/gC),N:C ratio Greens
 , ,NCRatDiat,0.160000,(gN/gC),N:C ratio Diatoms
 , ,NCRMDI_E,0.255000,NOUNIT,N:C ratio algae type 01
 , ,NCRMDI_N,0.125000,NOUNIT,N:C ratio algae type 02
 , ,NCRMDI_P,0.150000,NOUNIT,N:C ratio algae type 03
 , ,NCRMFL_E,0.200000,NOUNIT,N:C ratio algae type 04
 , ,NCRMFL_N,0.140000,NOUNIT,N:C ratio algae type 05
 , ,NCRMFL_P,0.200000,NOUNIT,N:C ratio algae type 06
 , ,NCRDIN_E,0.162500,NOUNIT,N:C ratio algae type 07
 , ,NCRDIN_N,0.125000,NOUNIT,N:C ratio algae type 08
 , ,NCRDIN_P,0.137500,NOUNIT,N:C ratio algae type 09
 , ,NCRPHA_E,0.187500,NOUNIT,N:C ratio algae type 10
 , ,NCRPHA_N,0.135000,NOUNIT,N:C ratio algae type 11
 , ,NCRPHA_P,0.187500,NOUNIT,N:C ratio algae type 12
 , ,NCRULS_E,0.255100,NOUNIT,N:C ratio algae type 13
 , ,NCRULS_N,0.125100,NOUNIT,N:C ratio algae type 14
 , ,NCRULS_P,0.150100,NOUNIT,N:C ratio algae type 15
 , ,NCRULF_E,0.255100,NOUNIT,N:C ratio algae type 16
 , ,NCRULF_N,0.125100,NOUNIT,N:C ratio algae type 17
 , ,NCRULF_P,0.150100,NOUNIT,N:C ratio algae type 18
 , ,NCRAlg19,0.200000,(gN/gC),N:C ratio algae type 19
 , ,NCRAlg20,0.200000,(gN/gC),N:C ratio algae type 20
 , ,NCRAlg21,0.200000,(gN/gC),N:C ratio algae type 21
 , ,NCRAlg22,0.200000,(gN/gC),N:C ratio algae type 22
 , ,NCRAlg23,0.200000,(gN/gC),N:C ratio algae type 23
 , ,NCRAlg24,0.200000,(gN/gC),N:C ratio algae type 24
 , ,NCRAlg25,0.200000,(gN/gC),N:C ratio algae type 25
 , ,NCRAlg26,0.200000,(gN/gC),N:C ratio algae type 26
 , ,NCRAlg27,0.200000,(gN/gC),N:C ratio algae type 27
 , ,NCRAlg28,0.200000,(gN/gC),N:C ratio algae type 28
 , ,NCRAlg29,0.200000,(gN/gC),N:C ratio algae type 29
 , ,NCRAlg30,0.200000,(gN/gC),N:C ratio algae type 30
 , ,NCRatF1,0.400000,(gN/gC),N:C ratio Dummy food type 1
 , ,NCRatF2,0.400000,(gN/gC),N:C ratio Dummy food type 2
 , ,NCRatF3,0.400000,(gN/gC),N:C ratio Dummy food type 3
 , ,NCRatF4,0.400000,(gN/gC),N:C ratio Dummy food type 4
 , ,NCRatF5,0.400000,(gN/gC),N:C ratio Dummy food type 5
 , ,NCRatF6,0.400000,(gN/gC),N:C ratio Dummy food type 6
 , ,NCRatF7,0.400000,(gN/gC),N:C ratio Dummy food type 7
 , ,NCRatF8,0.400000,(gN/gC),N:C ratio Dummy food type 8
 , ,PCRatGreen,0.200000E-01,(gP/gC),P:C ratio Greens
 , ,PCRatDiat,0.200000E-01,(gP/gC),P:C ratio Diatoms
 , ,PCRMDI_E,0.315000E-01,NOUNIT,P:C ratio algae type 01
 , ,PCRMDI_N,0.175000E-01,NOUNIT,P:C ratio algae type 02
 , ,PCRMDI_P,0.112500E-01,NOUNIT,P:C ratio algae type 03
 , ,PCRMFL_E,0.200000E-01,NOUNIT,P:C ratio algae type 04
 , ,PCRMFL_N,0.150000E-01,NOUNIT,P:C ratio algae type 05
 , ,PCRMFL_P,0.112500E-01,NOUNIT,P:C ratio algae type 06
 , ,PCRDIN_E,0.167500E-01,NOUNIT,P:C ratio algae type 07
 , ,PCRDIN_N,0.150000E-01,NOUNIT,P:C ratio algae type 08
 , ,PCRDIN_P,0.130000E-01,NOUNIT,P:C ratio algae type 09
 , ,PCRPHA_E,0.225000E-01,NOUNIT,P:C ratio algae type 10
 , ,PCRPHA_N,0.212500E-01,NOUNIT,P:C ratio algae type 11
 , ,PCRPHA_P,0.112500E-01,NOUNIT,P:C ratio algae type 12
 , ,PCRULS_E,0.315100E-01,NOUNIT,P:C ratio algae type 13
 , ,PCRULS_N,0.175100E-01,NOUNIT,P:C ratio algae type 14
 , ,PCRULS_P,0.112600E-01,NOUNIT,P:C ratio algae type 15
 , ,PCRULF_E,0.315100E-01,NOUNIT,P:C ratio algae type 16
 , ,PCRULF_N,0.175100E-01,NOUNIT,P:C ratio algae type 17
 , ,PCRULF_P,0.112600E-01,NOUNIT,P:C ratio algae type 18
 , ,PCRAlg19,0.200000E-01,(gP/gC),P:C ratio algae type 19
 , ,PCRAlg20,0.200000E-01,(gP/gC),P:C ratio algae type 20
 , ,PCRAlg21,0.200000E-01,(gP/gC),P:C ratio algae type 21
 , ,PCRAlg22,0.200000E-01,(gP/gC),P:C ratio algae type 22
 , ,PCRAlg23,0.200000E-01,(gP/gC),P:C ratio algae type 23
 , ,PCRAlg24,0.200000E-01,(gP/gC),P:C ratio algae type 24
 , ,PCRAlg25,0.200000E-01,(gP/gC),P:C ratio algae type 25
 , ,PCRAlg26,0.200000E-01,(gP/gC),P:C ratio algae type 26
 , ,PCRAlg27,0.200000E-01,(gP/gC),P:C ratio algae type 27
 , ,PCRAlg28,0.200000E-01,(gP/gC),P:C ratio algae type 28
 , ,PCRAlg29,0.200000E-01,(gP/gC),P:C ratio algae type 29
 , ,PCRAlg30,0.200000E-01,(gP/gC),P:C ratio algae type 30
 , ,PCRatF1,0.200000E-01,(gP/gC),P:C ratio Dummy food type 1
 , ,PCRatF2,0.200000E-01,(gP/gC),P:C ratio Dummy food type 2
 , ,PCRatF3,0.200000E-01,(gP/gC),P:C ratio Dummy food type 3
 , ,PCRatF4,0.200000E-01,(gP/gC),P:C ratio Dummy food type 4
 , ,PCRatF5,0.200000E-01,(gP/gC),P:C ratio Dummy food type 5
 , ,PCRatF6,0.200000E-01,(gP/gC),P:C ratio Dummy food type 6
 , ,PCRatF7,0.200000E-01,(gP/gC),P:C ratio Dummy food type 7
 , ,PCRatF8,0.200000E-01,(gP/gC),P:C ratio Dummy food type 8
 , ,SCRatGreen,0.00000,(gSi/gC),Si:C ratio Greens
 , ,SCRatDiat,0.490000,(gSi/gC),Si:C ratio Diatoms
 , ,SCRMDI_E,0.447000,NOUNIT,Si:C ratio algae type 01
 , ,SCRMDI_N,0.283000,NOUNIT,Si:C ratio algae type 02
 , ,SCRMDI_P,0.283000,NOUNIT,Si:C ratio algae type 03
 , ,SCRMFL_E,0.00000,NOUNIT,Si:C ratio algae type 04
 , ,SCRMFL_N,0.00000,NOUNIT,Si:C ratio algae type 05
 , ,SCRMFL_P,0.00000,NOUNIT,Si:C ratio algae type 06
 , ,SCRDIN_E,0.00000,NOUNIT,Si:C ratio algae type 07
 , ,SCRDIN_N,0.00000,NOUNIT,Si:C ratio algae type 08
 , ,SCRDIN_P,0.00000,NOUNIT,Si:C ratio algae type 09
 , ,SCRPHA_E,0.00000,NOUNIT,Si:C ratio algae type 10
 , ,SCRPHA_N,0.00000,NOUNIT,Si:C ratio algae type 11
 , ,SCRPHA_P,0.00000,NOUNIT,Si:C ratio algae type 12
 , ,SCRULS_E,0.447100,NOUNIT,Si:C ratio algae type 13
 , ,SCRULS_N,0.283100,NOUNIT,Si:C ratio algae type 14
 , ,SCRULS_P,0.283100,NOUNIT,Si:C ratio algae type 15
 , ,SCRULF_E,0.447100,NOUNIT,Si:C ratio algae type 16
 , ,SCRULF_N,0.283100,NOUNIT,Si:C ratio algae type 17
 , ,SCRULF_P,0.283100,NOUNIT,Si:C ratio algae type 18
 , ,SCRAlg19,0.200000E-02,(gSi/gC),Si:C ratio algae type 19
 , ,SCRAlg20,0.200000E-02,(gSi/gC),Si:C ratio algae type 20
 , ,SCRAlg21,0.200000E-02,(gSi/gC),Si:C ratio algae type 21
 , ,SCRAlg22,0.200000E-02,(gSi/gC),Si:C ratio algae type 22
 , ,SCRAlg23,0.200000E-02,(gSi/gC),Si:C ratio algae type 23
 , ,SCRAlg24,0.200000E-02,(gSi/gC),Si:C ratio algae type 24
 , ,SCRAlg25,0.200000E-02,(gSi/gC),Si:C ratio algae type 25
 , ,SCRAlg26,0.200000E-02,(gSi/gC),Si:C ratio algae type 26
 , ,SCRAlg27,0.200000E-02,(gSi/gC),Si:C ratio algae type 27
 , ,SCRAlg28,0.200000E-02,(gSi/gC),Si:C ratio algae type 28
 , ,SCRAlg29,0.200000E-02,(gSi/gC),Si:C ratio algae type 29
 , ,SCRAlg30,0.200000E-02,(gSi/gC),Si:C ratio algae type 30
 , ,SCRatF1,0.00000,(gSi/gC),Si:C ratio Dummy food type 1
 , ,SCRatF2,0.00000,(gSi/gC),Si:C ratio Dummy food type 2
 , ,SCRatF3,0.00000,(gSi/gC),Si:C ratio Dummy food type 3
 , ,SCRatF4,0.00000,(gSi/gC),Si:C ratio Dummy food type 4
 , ,SCRatF5,0.00000,(gSi/gC),Si:C ratio Dummy food type 5
 , ,SCRatF6,0.00000,(gSi/gC),Si:C ratio Dummy food type 6
 , ,SCRatF7,0.00000,(gSi/gC),Si:C ratio Dummy food type 7
 , ,SCRatF8,0.00000,(gSi/gC),Si:C ratio Dummy food type 8
 , ,G3_PrGrn,1.00000,(-),Preference of DEB Grazer3 for Greens
 , ,G3_PrDiat,1.00000,(-),Preference of DEB Grazer3 for Diatoms
 , ,G3_PrAlg01,1.00000,(-),Preference of DEB Grazer3 for algae type 01
 , ,G3_PrAlg02,1.00000,(-),Preference of DEB Grazer3 for algae type 02
 , ,G3_PrAlg03,1.00000,(-),Preference of DEB Grazer3 for algae type 03
 , ,G3_PrAlg04,1.00000,(-),Preference of DEB Grazer3 for algae type 04
 , ,G3_PrAlg05,1.00000,(-),Preference of DEB Grazer3 for algae type 05
 , ,G3_PrAlg06,1.00000,(-),Preference of DEB Grazer3 for algae type 06
 , ,G3_PrAlg07,1.00000,(-),Preference of DEB Grazer3 for algae type 07
 , ,G3_PrAlg08,1.00000,(-),Preference of DEB Grazer3 for algae type 08
 , ,G3_PrAlg09,1.00000,(-),Preference of DEB Grazer3 for algae type 09
 , ,G3_PrAlg10,0.00000,(-),Preference of DEB Grazer3 for algae type 10
 , ,G3_PrAlg11,0.00000,(-),Preference of DEB Grazer3 for algae type 11
 , ,G3_PrAlg12,0.00000,(-),Preference of DEB Grazer3 for algae type 12
 , ,G3_PrAlg13,1.00000,(-),Preference of DEB Grazer3 for algae type 13
 , ,G3_PrAlg14,1.00000,(-),Preference of DEB Grazer3 for algae type 14
 , ,G3_PrAlg15,1.00000,(-),Preference of DEB Grazer3 for algae type 15
 , ,G3_PrAlg16,0.00000,(-),Preference of DEB Grazer3 for algae type 16
 , ,G3_PrAlg17,0.00000,(-),Preference of DEB Grazer3 for algae type 17
 , ,G3_PrAlg18,0.00000,(-),Preference of DEB Grazer3 for algae type 18
 , ,G3_PrAlg19,1.00000,(-),Preference of DEB Grazer3 for algae type 19
 , ,G3_PrAlg20,1.00000,(-),Preference of DEB Grazer3 for algae type 20
 , ,G3_PrAlg21,1.00000,(-),Preference of DEB Grazer3 for algae type 21
 , ,G3_PrAlg22,1.00000,(-),Preference of DEB Grazer3 for algae type 22
 , ,G3_PrAlg23,1.00000,(-),Preference of DEB Grazer3 for algae type 23
 , ,G3_PrAlg24,1.00000,(-),Preference of DEB Grazer3 for algae type 24
 , ,G3_PrAlg25,1.00000,(-),Preference of DEB Grazer3 for algae type 25
 , ,G3_PrAlg26,1.00000,(-),Preference of DEB Grazer3 for algae type 26
 , ,G3_PrAlg27,1.00000,(-),Preference of DEB Grazer3 for algae type 27
 , ,G3_PrAlg28,1.00000,(-),Preference of DEB Grazer3 for algae type 28
 , ,G3_PrAlg29,1.00000,(-),Preference of DEB Grazer3 for algae type 29
 , ,G3_PrAlg30,1.00000,(-),Preference of DEB Grazer3 for algae type 30
 , ,G3_Pr1,0.00000,(-),Preference of DEB Grazer3 for Dummy Food1
 , ,G3_Pr2,0.00000,(-),Preference of DEB Grazer3 for Dummy Food2
 , ,G3_Pr3,0.00000,(-),Preference of DEB Grazer3 for Dummy Food3
 , ,G3_Pr4,0.00000,(-),Preference of DEB Grazer3 for Dummy Food4
 , ,G3_Pr5,0.00000,(-),Preference of DEB Grazer3 for Dummy Food5
 , ,G3_Pr6,0.00000,(-),Preference of DEB Grazer3 for Dummy Food6
 , ,G3_Pr7,0.00000,(-),Preference of DEB Grazer3 for Dummy Food7
 , ,G3_Pr8,0.00000,(-),Preference of DEB Grazer3 for Dummy Food8
 , ,BenGrn,0.00000,(-),Use 0 [pelagic] or 1 [benthic] Greens
 , ,BenDiat,0.00000,(-),Use 0 [pelagic] or 1 [benthic] Diatoms
 , ,BenAlg01,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 01
 , ,BenAlg02,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 02
 , ,BenAlg03,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 03
 , ,BenAlg04,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 04
 , ,BenAlg05,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 05
 , ,BenAlg06,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 06
 , ,BenAlg07,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 07
 , ,BenAlg08,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 08
 , ,BenAlg09,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 09
 , ,BenAlg10,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 10
 , ,BenAlg11,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 11
 , ,BenAlg12,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 12
 , ,BenAlg13,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 13
 , ,BenAlg14,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 14
 , ,BenAlg15,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 15
 , ,BenAlg16,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 16
 , ,BenAlg17,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 17
 , ,BenAlg18,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 18
 , ,BenAlg19,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 19
 , ,BenAlg20,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 20
 , ,BenAlg21,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 21
 , ,BenAlg22,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 22
 , ,BenAlg23,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 23
 , ,BenAlg24,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 24
 , ,BenAlg25,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 25
 , ,BenAlg26,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 26
 , ,BenAlg27,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 27
 , ,BenAlg28,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 28
 , ,BenAlg29,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 29
 , ,BenAlg30,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 30
 , ,Ben1,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food1
 , ,Ben2,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food2
 , ,Ben3,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food3
 , ,Ben4,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food4
 , ,Ben5,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food5
 , ,Ben6,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food6
 , ,Ben7,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food7
 , ,Ben8,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food8
 , ,G3_FFGrn,0.500000,(-),Faecal fraction Greens for DEB Grazer3
 , ,G3_FFDiat,0.500000,(-),Faecal fraction Diatoms for DEB Grazer3
 , ,G3_ALGFF01,0.500000,(-),Faecal fraction Alg01 for DEB Grazer3
 , ,G3_ALGFF02,0.500000,(-),Faecal fraction Alg02 for DEB Grazer3
 , ,G3_ALGFF03,0.500000,(-),Faecal fraction Alg03 for DEB Grazer3
 , ,G3_ALGFF04,0.500000,(-),Faecal fraction Alg04 for DEB Grazer3
 , ,G3_ALGFF05,0.500000,(-),Faecal fraction Alg05 for DEB Grazer3
 , ,G3_ALGFF06,0.500000,(-),Faecal fraction Alg06 for DEB Grazer3
 , ,G3_ALGFF07,0.500000,(-),Faecal fraction Alg07 for DEB Grazer3
 , ,G3_ALGFF08,0.500000,(-),Faecal fraction Alg08 for DEB Grazer3
 , ,G3_ALGFF09,0.500000,(-),Faecal fraction Alg09 for DEB Grazer3
 , ,G3_ALGFF10,0.500000,(-),Faecal fraction Alg10 for DEB Grazer3
 , ,G3_ALGFF11,0.500000,(-),Faecal fraction Alg11 for DEB Grazer3
 , ,G3_ALGFF12,0.500000,(-),Faecal fraction Alg12 for DEB Grazer3
 , ,G3_ALGFF13,0.500000,(-),Faecal fraction Alg13 for DEB Grazer3
 , ,G3_ALGFF14,0.500000,(-),Faecal fraction Alg14 for DEB Grazer3
 , ,G3_ALGFF15,0.500000,(-),Faecal fraction Alg15 for DEB Grazer3
 , ,G3_ALGFF16,0.500000,(-),Faecal fraction Alg16 for DEB Grazer3
 , ,G3_ALGFF17,0.500000,(-),Faecal fraction Alg17 for DEB Grazer3
 , ,G3_ALGFF18,0.500000,(-),Faecal fraction Alg18 for DEB Grazer3
 , ,G3_ALGFF19,0.500000,(-),Faecal fraction Alg19 for DEB Grazer3
 , ,G3_ALGFF20,0.500000,(-),Faecal fraction Alg20 for DEB Grazer3
 , ,G3_ALGFF21,0.500000,(-),Faecal fraction Alg21 for DEB Grazer3
 , ,G3_ALGFF22,0.500000,(-),Faecal fraction Alg22 for DEB Grazer3
 , ,G3_ALGFF23,0.500000,(-),Faecal fraction Alg23 for DEB Grazer3
 , ,G3_ALGFF24,0.500000,(-),Faecal fraction Alg24 for DEB Grazer3
 , ,G3_ALGFF25,0.500000,(-),Faecal fraction Alg25 for DEB Grazer3
 , ,G3_ALGFF26,0.500000,(-),Faecal fraction Alg26 for DEB Grazer3
 , ,G3_ALGFF27,0.500000,(-),Faecal fraction Alg27 for DEB Grazer3
 , ,G3_ALGFF28,0.500000,(-),Faecal fraction Alg28 for DEB Grazer3
 , ,G3_ALGFF29,0.500000,(-),Faecal fraction Alg29 for DEB Grazer3
 , ,G3_ALGFF30,0.500000,(-),Faecal fraction Alg30 for DEB Grazer3
 , ,G3_FF01,0.500000,(-),Faecal fraction Dummy Food1 for DEB Grazer3
 , ,G3_FF02,0.500000,(-),Faecal fraction Dummy Food2 for DEB Grazer3
 , ,G3_FF03,0.500000,(-),Faecal fraction Dummy Food3 for DEB Grazer3
 , ,G3_FF04,0.500000,(-),Faecal fraction Dummy Food4 for DEB Grazer3
 , ,G3_FF05,0.500000,(-),Faecal fraction Dummy Food5 for DEB Grazer3
